system:index,annual_temp_C,.geo
0,23.109734645034337,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,23.563717836322212,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,21.12472339976921,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,20.191114853367708,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,21.13693043101921,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,21.38841007117071,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,17.83351542154952,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,16.111199488784337,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,17.845130596738898,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,19.916330880829832,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,19.916330880829832,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,22.30143682306465,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,16.73631785999646,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,13.5399844082919,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,14.214004886511646,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,17.84635869806465,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,17.84635869806465,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,20.7465273770419,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,20.97437716397377,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,20.956207182913147,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,21.199859526663147,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,16.563836207534337,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,12.118582893140399,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,10.59979146321615,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,12.931319635564648,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,12.931319635564648,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,16.426584787079832,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,17.854008437647963,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,18.392419895981334,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,19.690818925337396,"{""type"":""MultiPoint"",""coordinates"":[]}"
